title,author,avg_rating,genre,price,currency,cover_url,link,cluster,pca_1,pca_2
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,4.11,Juvenile Fiction,8.99,NAN,http://books.google.com/books/content?id=7ue6Z6UMS_AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie,0,0.02874362978711589,-0.07456496073828037
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,Unknown,8.99,NAN,http://books.google.com/books/content?id=eHI1AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1934.Little_Women,0,0.24143778675116245,-0.2872591177023263
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,3.97,Dallas (Tex.),8.99,NAN,,https://www.goodreads.com/book/show/110494.Living_Dead_in_Dallas,0,-0.4675427364623298,0.4217214055111637
Living Fearless: Exchanging the Lies of the World for the Liberating Truth of God,Jamie Winship,4.11,Religion,14.43,EUR,http://books.google.com/books/content?id=ZchOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/59317244-living-fearless,0,0.7924246144054649,0.689116023880071
Local Woman Missing,Mary Kubica,4.11,Fiction,8.6,EUR,http://books.google.com/books/content?id=Mu_yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/57361474-local-woman-missing,0,-0.026005558448390823,-0.12931414897378726
Lock Every Door,Riley Sager,3.89,Fiction,8.99,EUR,http://books.google.com/books/content?id=XQh1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/41837243-lock-every-door,0,-0.7511349457477273,0.7053136147965604
Lolita,Vladimir Nabokov,3.87,Fiction,8.99,NAN,http://books.google.com/books/content?id=utvB0I_0SZsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7604.Lolita,0,-0.8220329980690768,0.7762116671179097
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.57,Cattle Drives,8.99,NAN,http://books.google.com/books/content?id=GXYH1C_esq0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/256008.Lonesome_Dove,0,1.65939883317815,-1.7052201641293097
Look Closer,David Ellis,4.11,Fiction,11.84,EUR,http://books.google.com/books/content?id=TopGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/59316367-look-closer,0,0.4288338515081259,0.3255252609827309
Looking for Alaska,John Green,3.96,Young Adult Fiction,9.09,EUR,http://books.google.com/books/content?id=5v1NBhR1W88C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,0,-0.48895350922928565,0.47120868506555874
