title,author,avg_rating,genre,published_year,price,currency,cover_url,link
The Haunting of Hill House,Shirley Jackson,4.113022312373225,Fiction,2009-10-01,8.99,EUR,http://books.google.com/books/content?id=shamoNc-gg4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
High Fidelity,Nick Hornby,4.113022312373225,Fiction,1996-08-01,,,http://books.google.com/books/content?id=k3ZtZcOnWrsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/285092.High_Fidelity
To the Lighthouse,Virginia Woolf,4.113022312373225,Fiction,2017-10-19,3.99,EUR,http://books.google.com/books/content?id=BkGFDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/59716.To_the_Lighthouse
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,4.113022312373225,"Children's stories, English",2008,,,http://books.google.com/books/content?id=mopINwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard
The Shipping News,Annie Proulx,4.113022312373225,Fiction,2008-01-01,13.84,EUR,http://books.google.com/books/content?id=jHp8VHqgCmQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7354.The_Shipping_News
The Goldfinch,Donna Tartt,4.113022312373225,Fiction,2013-10-22,6.49,EUR,http://books.google.com/books/content?id=T2CA83gbtM8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17333223-the-goldfinch
Nineteen Minutes,Jodi Picoult,4.113022312373225,Fiction,2007-03-05,13.84,EUR,http://books.google.com/books/content?id=MSMxgQp2bMUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14866.Nineteen_Minutes
"The Chosen (Reuven Malter, #1)",Chaim Potok,4.113022312373225,Religion,2017-04-25,22.75,EUR,http://books.google.com/books/content?id=xvTEDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/187181.The_Chosen
Emma,Jane Austen,4.113022312373225,,1886,,,http://books.google.com/books/content?id=b7MXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6969.Emma
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.113022312373225,Juvenile Fiction,2022-08-01,,,http://books.google.com/books/content?id=u5N_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
Shantaram,Gregory David Roberts,4.113022312373225,Fiction,2012-06-28,6.99,EUR,http://books.google.com/books/content?id=5JaxSJlpGmAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/33600.Shantaram
"Neuromancer (Sprawl, #1)",William Gibson,4.113022312373225,Fiction,2021-02-13,7.99,EUR,http://books.google.com/books/content?id=cLsLEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6088007-neuromancer
Pet Sematary,Stephen        King,4.113022312373225,Fiction,2017-01-31,,,http://books.google.com/books/content?id=FNn5DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/33124137-pet-sematary
"I, Robot (Robot, #0.1)",Isaac Asimov,4.113022312373225,Fiction,2004-06-01,8.45,EUR,http://books.google.com/books/content?id=2vnbMzYXBQsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/41804.I_Robot
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.113022312373225,Fiction,2009-04-20,6.29,EUR,http://books.google.com/books/content?id=dQkFLM8_5ZEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/838729.The_Return_of_the_King
Houdini Heart,Ki Longfellow,4.113022312373225,Fiction,2011,,,http://books.google.com/books/content?id=5WYgKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/11324204-houdini-heart
A Christmas Carol,Charles Dickens,4.113022312373225,Christmas stories,1858,,,http://books.google.com/books/content?id=f8ANAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5326.A_Christmas_Carol
Redeeming Love,Francine  Rivers,4.113022312373225,Fiction,2009-08-04,11.85,EUR,http://books.google.com/books/content?id=I7eMlFZ-drcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11422.Redeeming_Love
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.113022312373225,Fiction,2011-07-12,7.9,EUR,http://books.google.com/books/content?id=7Q4R3RHe8AQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
The Reader,Bernhard Schlink,4.113022312373225,Fiction,2001-05-01,8.89,EUR,http://books.google.com/books/content?id=2JYJicwT84cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/101299.The_Reader
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,4.113022312373225,Fiction,2009-09-15,8.99,EUR,http://books.google.com/books/content?id=s8l5ApOH2CwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6411961-the-lost-symbol
The Collector,John Fowles,4.113022312373225,Fiction,1963,,,http://books.google.com/books/content?id=ycDcsbsurcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/243705.The_Collector
"The Wicked King (The Folk of the Air, #2)",Holly Black,4.113022312373225,,,,,,https://www.goodreads.com/book/show/26032887-the-wicked-king
Dubliners,James Joyce,4.113022312373225,Fiction,2000,,,http://books.google.com/books/content?id=WkqR7nM198QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11012.Dubliners
The Age of Innocence,Edith Wharton,4.113022312373225,Juvenile Fiction,2015-11-03,2.55,EUR,http://books.google.com/books/content?id=8iXZCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,4.113022312373225,Biography & Autobiography,2012-04-05,8.99,EUR,http://books.google.com/books/content?id=SdcvT6brS04C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/960.Angels_Demons
The Republic,Plato,4.113022312373225,Philosophy,2007-05-31,8.49,EUR,http://books.google.com/books/content?id=I7lhPhT3K2sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30289.The_Republic
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4.113022312373225,,,,,,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.113022312373225,Juvenile Fiction,2009-03-17,5.69,EUR,http://books.google.com/books/content?id=sUtrdMJvFXAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/78411.The_Bad_Beginning
The Waste Land,T.S. Eliot,4.113022312373225,Poetry,2021-02-16,,,http://books.google.com/books/content?id=-OEsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/34080.The_Waste_Land
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,4.113022312373225,Fiction,2019-04-26,,,http://books.google.com/books/content?id=VdiZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/52022378-sheever-s-journal-diary-of-a-poison-master
