title,author,avg_rating,genre,published_year,price,currency,cover_url,link
A Midsummer Night’s Dream,William Shakespeare,3.94,Drama,2015.0,6.91,EUR,http://books.google.com/books/content?id=WO8FAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1622.A_Midsummer_Night_s_Dream
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,"Detective and mystery stories, English",2006.0,,None,,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
Bridge to Terabithia,Katherine Paterson,4.06,Juvenile Fiction,1996.0,,None,http://books.google.com/books/content?id=huL_On7RAhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25,Juvenile Fiction,2008.0,,None,http://books.google.com/books/content?id=RxuU35ZmkvoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/2282133.Frostbite
"The Selection (The Selection, #1)",Kiera Cass,4.07,Young Adult Fiction,2012.0,8.99,EUR,http://books.google.com/books/content?id=HbhccC9yumAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10507293-the-selection
Tess of the D’Urbervilles,Thomas Hardy,3.84,Fiction,2021.0,3.49,EUR,http://books.google.com/books/content?id=QrwzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles
Heart of Darkness,Joseph Conrad,3.43,Fiction,1990.0,,None,http://books.google.com/books/content?id=cWDcDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4900.Heart_of_Darkness
The Night Circus,Erin Morgenstern,4.0,Fiction,2011.0,3.99,EUR,http://books.google.com/books/content?id=GwAWS6C33O4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/9361589-the-night-circus
The Prophet,Kahlil Gibran,4.23,Philosophy,1997.0,,None,http://books.google.com/books/content?id=n5BlBsFbGOQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2547.The_Prophet
The Call of the Wild,Jack London,3.91,None,1903.0,,None,http://books.google.com/books/content?id=j0oYi3O_tvgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.3,Fiction,2009.0,,None,http://books.google.com/books/content?id=fo_TXENidlUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/5996153-blood-promise
Alice in Wonderland,Jane Carruth,4.03,None,1963.0,,None,,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland
The Joy Luck Club,Amy Tan,3.97,Fiction,2008.0,8.99,EUR,http://books.google.com/books/content?id=AojD26ziX2IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,Fiction,2004.0,,None,http://books.google.com/books/content?id=U6OgdLXPwvAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1078.The_Good_Earth
"Oh, the Places You’ll Go!",Dr. Seuss,4.37,Juvenile Fiction,2013.0,11.13,EUR,http://books.google.com/books/content?id=hbw4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_
The Phantom Tollbooth,Norton Juster,4.2,None,1993.0,,None,,https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth
The Neverending Story,Michael Ende,4.18,Fiction,1984.0,,None,http://books.google.com/books/content?id=oCDN70LpoFgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/27712.The_Neverending_Story
Madame Bovary,Gustave Flaubert,3.71,Fiction,2003.0,,None,http://books.google.com/books/content?id=5LlddZgi6iYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2175.Madame_Bovary
Treasure Island,Robert Louis Stevenson,3.85,None,1949.0,,None,,https://www.goodreads.com/book/show/295.Treasure_Island
Oliver Twist,Charles Dickens,3.88,Fiction,2024.0,4.99,EUR,http://books.google.com/books/content?id=yPjvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18254.Oliver_Twist
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,Fiction,2001.0,,None,http://books.google.com/books/content?id=hPHO7A8n_Q0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40605251-the-mists-of-avalon
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,Fiction,2011.0,6.99,EUR,http://books.google.com/books/content?id=t1RrxL_sI70C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
The Boy in the Striped Pajamas,John Boyne,4.16,Young Adult Fiction,2010.0,7.99,EUR,http://books.google.com/books/content?id=FKMAmEWLim8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas
