title,author,avg_rating,genre,price,currency,cover_url,link
A Flicker in the Dark,Stacy Willingham,3.97,Nan,,NAN,,https://www.goodreads.com/book/show/57693172-a-flicker-in-the-dark
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,Fiction,8.32,EUR,http://books.google.com/books/content?id=5NomkK4EV68C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.29,Young Adult Fiction,,NAN,http://books.google.com/books/content?id=wrUlEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,4.11,Juvenile Fiction,,NAN,http://books.google.com/books/content?id=HcEjwi1cZO0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty
A Heartbreaking Work of Staggering Genius,Dave Eggers,4.11,Biography & Autobiography,11.86,EUR,http://books.google.com/books/content?id=OSfpEJpJzrIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius
A Light in the Attic,Shel Silverstein,4.36,Juvenile Fiction,12.99,EUR,http://books.google.com/books/content?id=5w-qDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic
A Little Life,Hanya Yanagihara,4.28,Fiction,,NAN,http://books.google.com/books/content?id=0IQd0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/22822858-a-little-life
A Little Princess,Frances Hodgson Burnett,4.23,Fiction,,NAN,http://books.google.com/books/content?id=JhO8AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3008.A_Little_Princess
A Man Called Ove,Fredrik Backman,4.11,Fiction,,NAN,http://books.google.com/books/content?id=b2CZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18774964-a-man-called-ove
A Midsummer Night’s Dream,William Shakespeare,3.94,Drama,6.91,EUR,http://books.google.com/books/content?id=WO8FAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1622.A_Midsummer_Night_s_Dream
A Monster Calls,Patrick Ness,4.11,Juvenile Fiction,,NAN,http://books.google.com/books/content?id=bxH8rQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/25480342-a-monster-calls
