title,author,avg_rating,genre,cover_url,link
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,,"Children's stories, English",http://books.google.com/books/content?id=mopINwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard
The Shipping News,Annie Proulx,,Fiction,http://books.google.com/books/content?id=jHp8VHqgCmQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7354.The_Shipping_News
The Goldfinch,Donna Tartt,,Fiction,http://books.google.com/books/content?id=T2CA83gbtM8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17333223-the-goldfinch
Nineteen Minutes,Jodi Picoult,,Fiction,http://books.google.com/books/content?id=MSMxgQp2bMUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14866.Nineteen_Minutes
"The Chosen (Reuven Malter, #1)",Chaim Potok,,Religion,http://books.google.com/books/content?id=xvTEDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/187181.The_Chosen
Emma,Jane Austen,,,http://books.google.com/books/content?id=b7MXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6969.Emma
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,,Juvenile Fiction,http://books.google.com/books/content?id=u5N_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
Shantaram,Gregory David Roberts,,Fiction,http://books.google.com/books/content?id=5JaxSJlpGmAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/33600.Shantaram
"Neuromancer (Sprawl, #1)",William Gibson,,Fiction,http://books.google.com/books/content?id=cLsLEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6088007-neuromancer
Pet Sematary,Stephen        King,,Fiction,http://books.google.com/books/content?id=FNn5DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/33124137-pet-sematary
"I, Robot (Robot, #0.1)",Isaac Asimov,,Fiction,http://books.google.com/books/content?id=2vnbMzYXBQsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/41804.I_Robot
Houdini Heart,Ki Longfellow,,Fiction,http://books.google.com/books/content?id=5WYgKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/11324204-houdini-heart
Redeeming Love,Francine  Rivers,,Fiction,http://books.google.com/books/content?id=I7eMlFZ-drcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11422.Redeeming_Love
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,,Fiction,http://books.google.com/books/content?id=dQkFLM8_5ZEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/838729.The_Return_of_the_King
A Christmas Carol,Charles Dickens,,Christmas stories,http://books.google.com/books/content?id=f8ANAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5326.A_Christmas_Carol
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,,Fiction,http://books.google.com/books/content?id=7Q4R3RHe8AQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
The Reader,Bernhard Schlink,,Fiction,http://books.google.com/books/content?id=2JYJicwT84cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/101299.The_Reader
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,,Fiction,http://books.google.com/books/content?id=s8l5ApOH2CwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6411961-the-lost-symbol
"The Wicked King (The Folk of the Air, #2)",Holly Black,,,,https://www.goodreads.com/book/show/26032887-the-wicked-king
The Collector,John Fowles,,Fiction,http://books.google.com/books/content?id=ycDcsbsurcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/243705.The_Collector
Dubliners,James Joyce,,Fiction,http://books.google.com/books/content?id=WkqR7nM198QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11012.Dubliners
