k,inertia,silhouette
2,2520.155978133817,0.7515894731544034
3,2001.1760841196447,0.3933175215330358
4,1604.7689082086265,0.37817859324157516
5,1303.096498076929,0.33315411247539245
6,1134.8749979420763,0.3380958744849106
7,1042.1460050370004,0.3794330754368617
8,952.9506373438171,0.36869836394091027
9,881.7649831436388,0.4122439452013096
10,809.0728227787794,0.4157278834441464
