k,inertia,silhouette
2,1668.357396573526,0.828624626556251
3,1116.0036988670124,0.583465798142579
4,722.5557586381582,0.6240762444887493
5,554.3061003905502,0.630428968059335
6,439.0020400317642,0.5642253962328176
7,370.8042031028576,0.576654927526293
8,313.6596736723067,0.5851211392615132
9,257.99510552445196,0.6120453798639354
10,223.8194509636161,0.6104235037925313
