title,author,avg_rating,genre,published_year,price,currency,cover_url,link,published_year,genre,cover_url
The Haunting of Hill House,Shirley Jackson,,Unknown,,8.99,,,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House,2009-10-01,Fiction,http://books.google.com/books/content?id=shamoNc-gg4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
High Fidelity,Nick Hornby,,Unknown,,8.99,,,https://www.goodreads.com/book/show/285092.High_Fidelity,1996-08-01,Fiction,http://books.google.com/books/content?id=k3ZtZcOnWrsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
To the Lighthouse,Virginia Woolf,,Unknown,,8.99,,,https://www.goodreads.com/book/show/59716.To_the_Lighthouse,2017-10-19,Fiction,http://books.google.com/books/content?id=BkGFDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,,Unknown,,8.99,,,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,2008,"Children's stories, English",http://books.google.com/books/content?id=mopINwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Shipping News,Annie Proulx,,Unknown,,8.99,,,https://www.goodreads.com/book/show/7354.The_Shipping_News,2008-01-01,Fiction,http://books.google.com/books/content?id=jHp8VHqgCmQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Goldfinch,Donna Tartt,,Unknown,,8.99,,,https://www.goodreads.com/book/show/17333223-the-goldfinch,2013-10-22,Fiction,http://books.google.com/books/content?id=T2CA83gbtM8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Nineteen Minutes,Jodi Picoult,,Unknown,,8.99,,,https://www.goodreads.com/book/show/14866.Nineteen_Minutes,2007-03-05,Fiction,http://books.google.com/books/content?id=MSMxgQp2bMUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Chosen (Reuven Malter, #1)",Chaim Potok,,Unknown,,8.99,,,https://www.goodreads.com/book/show/187181.The_Chosen,2017-04-25,Religion,http://books.google.com/books/content?id=xvTEDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Emma,Jane Austen,,Unknown,,8.99,,,https://www.goodreads.com/book/show/6969.Emma,1886,,http://books.google.com/books/content?id=b7MXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,,Unknown,,8.99,,,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,2022-08-01,Juvenile Fiction,http://books.google.com/books/content?id=u5N_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Shantaram,Gregory David Roberts,,Unknown,,8.99,,,https://www.goodreads.com/book/show/33600.Shantaram,2012-06-28,Fiction,http://books.google.com/books/content?id=5JaxSJlpGmAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Neuromancer (Sprawl, #1)",William Gibson,,Unknown,,8.99,,,https://www.goodreads.com/book/show/6088007-neuromancer,2021-02-13,Fiction,http://books.google.com/books/content?id=cLsLEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Pet Sematary,Stephen        King,,Unknown,,8.99,,,https://www.goodreads.com/book/show/33124137-pet-sematary,2017-01-31,Fiction,http://books.google.com/books/content?id=FNn5DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"I, Robot (Robot, #0.1)",Isaac Asimov,,Unknown,,8.99,,,https://www.goodreads.com/book/show/41804.I_Robot,2004-06-01,Fiction,http://books.google.com/books/content?id=2vnbMzYXBQsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,,Unknown,,8.99,,,https://www.goodreads.com/book/show/838729.The_Return_of_the_King,2009-04-20,Fiction,http://books.google.com/books/content?id=dQkFLM8_5ZEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Houdini Heart,Ki Longfellow,,Unknown,,8.99,,,https://www.goodreads.com/book/show/11324204-houdini-heart,2011,Fiction,http://books.google.com/books/content?id=5WYgKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Christmas Carol,Charles Dickens,,Unknown,,8.99,,,https://www.goodreads.com/book/show/5326.A_Christmas_Carol,1858,Christmas stories,http://books.google.com/books/content?id=f8ANAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Redeeming Love,Francine  Rivers,,Unknown,,8.99,,,https://www.goodreads.com/book/show/11422.Redeeming_Love,2009-08-04,Fiction,http://books.google.com/books/content?id=I7eMlFZ-drcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
