title,author,rating,link,cover_url,genre,price,published_year
The Republic,Plato,3.97 avg rating,https://www.goodreads.com/book/show/30289.The_Republic,,,,
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4.34 avg rating,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,,,,
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.02 avg rating,https://www.goodreads.com/book/show/78411.The_Bad_Beginning,,,,
The Waste Land,T.S. Eliot,4.11 avg rating,https://www.goodreads.com/book/show/34080.The_Waste_Land,,,,
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,4.29 avg rating,https://www.goodreads.com/book/show/52022378-sheever-s-journal-diary-of-a-poison-master,,,,
The Silent Patient,Alex Michaelides,4.17 avg rating,https://www.goodreads.com/book/show/40097951-the-silent-patient,,,,
Requiem for a Dream,Hubert Selby Jr.,4.11 avg rating,https://www.goodreads.com/book/show/46945.Requiem_for_a_Dream,,,,
"Voyager (Outlander, #3)",Diana Gabaldon,4.39 avg rating,https://www.goodreads.com/book/show/10987.Voyager,,,,
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.27 avg rating,https://www.goodreads.com/book/show/3777732-city-of-glass,,,,
The Twilight Collection,Stephenie Meyer,3.82 avg rating,https://www.goodreads.com/book/show/690926.The_Twilight_Collection,,,,
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.50 avg rating,https://www.goodreads.com/book/show/222910.The_Two_Towers,,,,
The Jungle,Upton Sinclair,3.78 avg rating,https://www.goodreads.com/book/show/41681.The_Jungle,,,,
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,4.43 avg rating,https://www.goodreads.com/book/show/42900.Lover_Awakened,,,,
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.86 avg rating,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood,,,,
"Betrayed (House of Night, #2)",P.C. Cast,3.92 avg rating,https://www.goodreads.com/book/show/676924.Betrayed,,,,
Me Talk Pretty One Day,David Sedaris,4.01 avg rating,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day,,,,
The Pearl,John Steinbeck,3.56 avg rating,https://www.goodreads.com/book/show/5308.The_Pearl,,,,
Sense and Sensibility,Jane Austen,4.09 avg rating,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,,,,
Snow Falling on Cedars,David Guterson,3.86 avg rating,https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars,,,,
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,4.01 avg rating,https://www.goodreads.com/book/show/84369.The_Last_Battle,,,,
"Untamed (House of Night, #4)",P.C. Cast,3.94 avg rating,https://www.goodreads.com/book/show/2866718-untamed,,,,
"I, Claudius (Claudius, #1)",Robert Graves,4.24 avg rating,https://www.goodreads.com/book/show/18765.I_Claudius,,,,
"The Exorcist (The Exorcist, #1)",William Peter Blatty,4.21 avg rating,https://www.goodreads.com/book/show/179780.The_Exorcist,,,,
Less Than Zero,Bret Easton Ellis,3.60 avg rating,https://www.goodreads.com/book/show/9915.Less_Than_Zero,,,,
"The Elite (The Selection, #2)",Kiera Cass,3.94 avg rating,https://www.goodreads.com/book/show/16248068-the-elite,,,,
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,4.76 avg rating,https://www.goodreads.com/book/show/17332218-words-of-radiance,,,,
The Beach,Alex Garland,3.99 avg rating,https://www.goodreads.com/book/show/607639.The_Beach,,,,
"Girl, Interrupted",Susanna Kaysen,3.94 avg rating,https://www.goodreads.com/book/show/68783.Girl_Interrupted,,,,
Everything is Illuminated,Jonathan Safran Foer,3.89 avg rating,https://www.goodreads.com/book/show/256566.Everything_is_Illuminated,,,,
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,4.10 avg rating,https://www.goodreads.com/book/show/13104080-unravel-me,,,,
A Room with a View,E.M. Forster,3.89 avg rating,https://www.goodreads.com/book/show/3087.A_Room_with_a_View,,,,
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/16101128-the-5th-wave,,,,
World War Z: An Oral History of the Zombie War,Max Brooks,4.02 avg rating,https://www.goodreads.com/book/show/8908.World_War_Z,,,,
The War of the Worlds,H.G. Wells,3.83 avg rating,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,,,,
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.45 avg rating,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,,,,
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.02 avg rating,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,,,,
Macbeth,William Shakespeare,3.89 avg rating,https://www.goodreads.com/book/show/8852.Macbeth,,,,
Bleak House,Charles Dickens,4.02 avg rating,https://www.goodreads.com/book/show/31242.Bleak_House,,,,
