title,price,currency
"The Horse and His Boy (Chronicles of Narnia, #5)",,
"Sabriel (Abhorsen, #1)",,
No Country for Old Men,12.99,EUR
The Art of War,9.99,EUR
"Chocolat (Chocolat, #1)",,
American Tabloid (Underworld USA #1),,
The Summoning (Darkest Powers #1),16.76,EUR
"Swann’s Way (In Search of Lost Time, #1)",9.88,EUR
The Westing Game,8.44,EUR
The Last Lecture,,
"Red Rising (Red Rising Saga, #1)",,
"Silence (Hush, Hush, #3)",6.44,EUR
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",,
Just Listen,7.99,EUR
"Halfway to the Grave (Night Huntress, #1)",,
A Simple Plan,,
Savages (Savages #2),,
Clockers,,
Winter's Bone,3.99,EUR
"The Goose Girl (The Books of Bayern, #1)",,
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,9.49,EUR
Twelfth Night,,
"I Am Number Four (Lorien Legacies, #1)",,
Lady Chatterley’s Lover,1.9,EUR
Layer Cake,,
I Capture the Castle,12.1,EUR
Nine Stories,,
"Trainspotting (Mark Renton, #2)",,
Kill Your Friends,5.99,EUR
Penance,7.99,EUR
"The Last Unicorn (The Last Unicorn, #1)",5.99,EUR
The Truth About Forever,,
"Speaker for the Dead (Ender's Saga, #2)",,
Trainspotting,31.02,EUR
"Ishmael (Ishmael, #1)",,
"Dead to the World (Sookie Stackhouse, #4)",8.44,EUR
"Kingdom of Ash (Throne of Glass, #7)",,
Demian: Die Geschichte von Emil Sinclairs Jugend,7.49,EUR
Audition,,
"The Bronze Horseman (The Bronze Horseman, #1)",10.99,EUR
The Quiet Tenant,,
The Hours,14.02,EUR
Julius Caesar,,
The Glass Castle,,
"You Are Special (Wemmicksville, #1)",,
"A Wizard of Earthsea (Earthsea Cycle, #1)",,
"Drums of Autumn (Outlander, #4)",8.99,EUR
City of God,17.58,EUR
The Arabian Nights,,
"The Black Dahlia Ellroy, James ( Author ) Aug-01-2006 Paperback",,
Cyrano de Bergerac,,
High-Rise,,
"Slammed (Slammed, #1)",,
The Killer Inside Me,3.99,EUR
"Acheron (Dark-Hunter, #14)",,
The Holy Bible: King James Version,,
The Glass Menagerie,,
Pericles and Aspasia: A Story of Ancient Greece,,
"World Without End (Kingsbridge, #2)",,
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",,
"The Knife of Never Letting Go (Chaos Walking, #1)",,
"1Q84 (1Q84, #1-3)",9.99,EUR
"L.A. Confidential (L.A. Quartet, #3)",,
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",34.99,EUR
"[No Country for Old Men] (By: Cormac McCarthy) [published: December, 2007]",,
We Need to Talk About Kevin,9.99,EUR
"Carry On (Simon Snow, #1)",11.99,EUR
"Hunted (House of Night, #5)",10.83,EUR
"The Scorch Trials (The Maze Runner, #2)",7.9,EUR
"A Dog's Purpose (A Dog's Purpose, #1)",7.72,EUR
"Captive in the Dark (The Dark Duet, #1)",,
"Viciously Yours (Fae Kings of Eden, #1)",,
"The Silver Chair (Chronicles of Narnia, #4)",,
No One Can Know,,
Project Hail Mary,,
Taming Flame,5.34,EUR
Before I Fall,3.49,EUR
The Merchant of Venice,,
"Hidden Bodies (You, #2)",,
Interpreter of Maladies,,
"Inheritance (The Inheritance Cycle, #4)",,
Gray After Dark,,
"Inferno (Robert Langdon, #4)",11.99,EUR
"The Bean Trees (Greer Family, #1)",4.49,EUR
"The Secret (The Secret, #1)",,
"P.S. I Love You (P.S. I Love You, #1)",9.62,EUR
"Wicked Lovely (Wicked Lovely, #1)",,
A Brief History of Time,,
"As Good As Dead (A Good Girl's Guide to Murder, #3)",,
Educated,,
"Prince Caspian (Chronicles of Narnia, #2)",,
The Bluest Eye,,
"The Blood of Olympus (The Heroes of Olympus, #5)",,
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",,
"The Queen of the Damned (The Vampire Chronicles, #3)",7.9,EUR
"My Sister, the Serial Killer",,
Ask for Andrea,,
Gravity’s Rainbow,4.92,EUR
"The Eyre Affair (Thursday Next, #1)",2.99,EUR
The Club,11.99,EUR
One Day in the Life of Ivan Denisovich,11.47,EUR
"Think Twice (Myron Bolitar, #12)",8.99,EUR
All the King's Men,,
Angels Fall,6.49,EUR
Invisible Monsters,,
House of Leaves,,
"In Cold Blood by Truman Capote [Random,2002]",,
Head Like a Hole,,
"Guards! Guards! (Discworld, #8; City Watch, #1)",8.99,EUR
"Lover Eternal (Black Dagger Brotherhood, #2)",,
Galveston,,
"House of Earth and Blood (Crescent City, #1)",,
"Assassin's Apprentice (Farseer Trilogy, #1)",18.78,EUR
Because of Winn-Dixie,,
The Roommate,,
"The Bourne Identity (Jason Bourne, #1)",,
"Poison Study (Study, #1)",5.05,EUR
Seabiscuit: An American Legend,12.84,EUR
Foucault’s Pendulum,8.99,EUR
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",,
Look Closer,11.84,EUR
Notes on an Execution,4.49,EUR
The Girl Who Was Taken,13.89,EUR
The Memory Keeper's Daughter,8.99,EUR
The Ocean at the End of the Lane,4.39,EUR
The Iliad,,
"City of Ashes (The Mortal Instruments, #2)",,
Mythology,7.99,EUR
Peace Like a River,3.99,EUR
The Night Before Christmas,,
A People’s History of the United States: 1492 - Present,,
"Not Forever, But For Now",,
If We Were Villains,9.99,EUR
"Oedipus Rex  (The Theban Plays, #1)",,
"Where She Went (If I Stay, #2)",,
Tokyo: The Devil of Nanking,,
The Tesseract,,
"The Talisman (The Talisman, #1)",6.99,EUR
The History of Love,,
"Oryx and Crake (MaddAddam, #1)",,
Grimm's Fairy Tales,,
"The Fiery Cross (Outlander, #5)",8.99,EUR
"The Hero of Ages (Mistborn, #3)",6.99,EUR
Libra,,
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",,
Native Son,,
The Yellow Wallpaper and Other Stories,0.92,EUR
The Midnight Library,10.69,EUR
"Champion (Legend, #3)",,
"Gone (Gone, #1)",,
"A Breath of Snow and Ashes (Outlander, #6)",3.99,EUR
Archer's Voice,7.99,EUR
"The Killer Angels (The Civil War Trilogy, #2)",,
"One of Us Is Lying (One of Us is Lying, #1)",9.99,EUR
"One for the Money (Stephanie Plum, #1)",,
The Purpose Driven Life: What on Earth Am I Here for?,,
I Am Legend and Other Stories,,
If on a Winter’s Night a Traveler,8.99,EUR
"Night Watch (Discworld, #29; City Watch, #6)",8.99,EUR
Starship Troopers,9.99,EUR
"Left Behind (Left Behind, #1)",14.97,EUR
The Shards,10.87,EUR
Watchers,4.92,EUR
"Being a Witch, and Other Things I Didn't Ask For",,
"Shadowfever (Fever, #5)",3.99,EUR
"Darkfever (Fever, #1)",,
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,7.19,EUR
"Corrupt (Devil's Night, #1)",,
The Winter of Frankie Machine,8.99,EUR
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",,
The Magus,8.99,EUR
"Death on the Nile (Hercule Poirot, #18)",5.49,EUR
"The Ballad of Never After (Once Upon a Broken Heart, #2)",10.82,EUR
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",5.49,EUR
"Scythe (Arc of a Scythe, #1)",,
The Book of Mormon: Another Testament of Jesus Christ,,
"Alanna: The First Adventure (Song of the Lioness, #1)",,
John Adams,,
Rosencrantz and Guildenstern Are Dead,,
Under the Dome,,
Possession,8.99,EUR
The Blind Assassin,5.99,EUR
"Pretties (Uglies, #2)",,
"The Death Cure (The Maze Runner, #3)",6.91,EUR
Cosmos,7.9,EUR
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",,
House of Sand and Fog,,
"Odd Thomas (Odd Thomas, #1)",0.99,EUR
"Keeper of the Lost Cities (Keeper of the Lost Cities, #1)",,
The Agony and the Ecstasy,,
Papillon,,
Bury My Heart at Wounded Knee: An Indian History of the American West,,
The Sirens of Titan,12.84,EUR
"Consequences (Consequences, #1)",,
"Lover Unbound (Black Dagger Brotherhood, #5)",8.44,EUR
On Writing: A Memoir of the Craft,,
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,14.99,EUR
Veronika Decides to Die,,
"Truth (Consequences, #2)",,
How to Win Friends & Influence People,4.54,EUR
A Heartbreaking Work of Staggering Genius,11.86,EUR
"Storm Front (The Dresden Files, #1)",,
The Elegance of the Hedgehog,9.59,EUR
Corelli’s Mandolin,8.99,EUR
The Drowning Woman,9.49,EUR
"Magical Midlife Awakening (Leveling Up, #9)",,
"Prodigy (Legend, #2)",,
Murder on Family Grounds (Mary Wandwalker #3),,
"A Canticle for Leibowitz (St. Leibowitz, #1)",,
The Witch of Blackbird Pond,,
"The Alienist (Dr. Laszlo Kreizler, #1)",9.88,EUR
Stoner,,
"Killing Sarai (In the Company of Killers, #1)",,
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",6.99,EUR
Digital Fortress,5.45,EUR
Something Wicked This Way Comes,4.49,EUR
Prodigal Summer,11.99,EUR
Meditations,,
The Aeneid,9.49,EUR
Song of Solomon,,
Holy Bible: New International Version,,
Battle Royale,,
Babel,6.99,EUR
The Trigger: Hunting the Assassin Who Brought the World to War,,
"Tears of Tess (Monsters in the Dark, #1)",,
Around the World in Eighty Days,1.99,EUR
This Is How You Lose the Time War,5.49,EUR
"Love Story (Love Story, #1)",,
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",5.99,EUR
"It Ain't Me, Babe (Hades Hangmen, #1)",,
Ficciones,7.49,EUR
Jitterbug Perfume,6.91,EUR
"Tempted (House of Night, #6)",4.49,EUR
Ivanhoe,,
Howl and Other Poems,,
"The High Auction (Wisdom Revolution, #1)",2.99,EUR
Anthem,,
"The Color of Magic (Discworld, #1; Rincewind, #1)",,
"An Ember in the Ashes (An Ember in the Ashes, #1)",12.99,EUR
"Rubinrot (Edelstein-Trilogie, #1)",17.99,EUR
"One Fish, Two Fish, Red Fish, Blue Fish",4.93,EUR
"The Oldest Dance (Wisdom Revolution, #2)",4.99,EUR
"Confessions of a Shopaholic (Shopaholic, #1)",,
"Ender's Shadow (The Shadow Series, #1)",6.95,EUR
"Princess Academy (Princess Academy, #1)",,
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",10.04,EUR
The Story of My Life,,
"The Big Sleep (Philip Marlowe, #1)",0.99,EUR
Mistress Suffragette,,
The Magic Mountain,,
"A Darker Shade of Magic (Shades of Magic, #1)",11.49,EUR
The Invention of Hugo Cabret,27.3,EUR
Message in a Bottle,,
One Day,5.49,EUR
"Antigone (The Theban Plays, #3)",6.9,EUR
"Souls Unfractured (Hades Hangmen, #3)",,
"Fablehaven (Fablehaven, #1)",,
"Club Dead (Sookie Stackhouse, #3)",6.99,EUR
Walk Two Moons,,
The Polymorph,,
"We Need to Talk About Kevin by Shriver, Lionel. (Harper Perennial,2006) [Paperback]",,
Orlando,1.41,EUR
"Living Dead in Dallas (Sookie Stackhouse, #2)",,
The Power of Myth,6.91,EUR
The Shell Seekers,5.49,EUR
It's Kind of a Funny Story,,
A Winter Grave,13.99,EUR
"The Girl in the Eagle's Talons (Millennium, #7)",5.99,EUR
The Corrections,12.74,EUR
"Glass Houses (The Morganville Vampires, #1)",7.19,EUR
Hard-Boiled Wonderland and the End of the World,8.99,EUR
Angle of Repose,,
The Marriage Portrait,,
The Jungle Books,,
The Namesake,,
"Lover Revealed (Black Dagger Brotherhood, #4)",,
An Abundance of Katherines,,
"The Edge of Never (The Edge of Never, #1)",7.49,EUR
