title,price,currency
"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Eight Political Wives",,
Momo,11.99,EUR
Invisible Cities,8.99,EUR
Collected Fictions,,
Get Rich or Get Lucky,,
Eugene Onegin,,
The Guardian,,
Saint Richard Parker,,
"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)",3.99,EUR
A Bend in the Road,5.99,EUR
"The Devil Wears Prada (The Devil Wears Prada, #1)",9.88,EUR
Credence,,
Isabella Warrior Queen,,
"Accidental Mystic (Midlife Melody, #1)",,
Valley of the Dolls,,
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",,
"Percy Jackson and the Olympians (Percy Jackson and the Olympians, #1-3)",8.99,EUR
Eleven Minutes,,
"God Is the Cure, Love Is the Answer: A Memoir",,
"Illuminae (The Illuminae Files, #1)",7.9,EUR
Germinal,3.99,EUR
Alias Grace,2.99,EUR
"The Mercy of Gods (The Captive's War, #1)",6.49,EUR
The Runaway Bunny,,
The Razor’s Edge,,
"Jaws (Jaws, #1)",,
